,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN
1600,115.0,0.519,0.7809999999999999,0.37,24.0,45.0,101.0,0.402,0.69,0.385,19.0,35.0,1,103.2,101.5,0.833,0.563,0
1601,97.0,0.364,0.731,0.326,18.0,43.0,112.0,0.53,0.609,0.417,15.0,41.0,0,105.3,101.8,0.833,0.563,0
1602,97.0,0.469,0.5770000000000001,0.24,15.0,40.0,108.0,0.407,0.8059999999999999,0.472,23.0,43.0,0,104.7,102.1,0.833,0.563,1
1603,120.0,0.527,0.706,0.48,23.0,52.0,90.0,0.421,0.654,0.273,21.0,32.0,1,108.2,102.2,0.833,0.563,0
1604,110.0,0.5429999999999999,0.7,0.455,26.0,46.0,77.0,0.354,0.667,0.217,15.0,34.0,1,110.4,106.8,0.833,0.563,1
1605,104.0,0.494,0.9,0.3329999999999999,29.0,41.0,89.0,0.381,0.9,0.3329999999999999,17.0,47.0,1,110.8,108.3,0.833,0.563,1
1606,96.0,0.435,0.625,0.4589999999999999,20.0,46.0,88.0,0.382,0.765,0.259,20.0,47.0,1,112.2,107.7,0.833,0.485,1
1607,101.0,0.422,0.688,0.13,16.0,49.0,108.0,0.409,0.625,0.467,23.0,44.0,0,113.2,107.4,0.833,0.485,1
1608,120.0,0.471,0.912,0.375,25.0,45.0,111.0,0.429,0.833,0.433,23.0,45.0,1,112.6,105.5,0.833,0.485,1
1609,118.0,0.433,0.775,0.346,23.0,56.0,94.0,0.413,0.655,0.3,15.0,40.0,1,115.3,105.5,0.833,0.485,0
1610,133.0,0.5,0.892,0.32,21.0,52.0,105.0,0.413,0.76,0.313,19.0,38.0,1,114.4,104.1,0.833,0.485,0
1611,118.0,0.506,0.679,0.4639999999999999,26.0,45.0,91.0,0.449,0.737,0.304,22.0,36.0,1,114.1,108.1,0.833,0.485,1
1612,102.0,0.44,0.647,0.3670000000000001,26.0,44.0,108.0,0.4379999999999999,0.688,0.471,22.0,52.0,0,114.3,105.7,0.833,0.485,0
1613,125.0,0.512,0.862,0.4379999999999999,28.0,44.0,121.0,0.413,0.7440000000000001,0.444,20.0,47.0,1,114.3,103.4,0.833,0.7879999999999999,1
1614,125.0,0.406,0.727,0.385,22.0,52.0,132.0,0.4629999999999999,0.818,0.425,22.0,49.0,0,110.3,101.6,0.833,0.7879999999999999,1
1615,120.0,0.465,0.7929999999999999,0.5670000000000001,19.0,41.0,108.0,0.477,0.588,0.483,29.0,42.0,1,109.5,100.1,0.833,0.7879999999999999,0
1616,110.0,0.462,0.9,0.3329999999999999,21.0,48.0,99.0,0.444,0.667,0.433,22.0,39.0,1,109.7,102.2,0.833,0.7879999999999999,1
1617,118.0,0.473,0.875,0.355,27.0,55.0,106.0,0.402,0.857,0.3229999999999999,26.0,40.0,1,109.6,103.1,0.833,0.7879999999999999,1
